Age Group,Male,Female,Date
0-9,218537,205171,2022-07-28
10-19,258669,279092,2022-07-28
20-29,412595,458819,2022-07-28
30-39,370641,414591,2022-07-28
40-49,287348,330023,2022-07-28
50-59,238082,264564,2022-07-28
60-69,167486,171611,2022-07-28
70-79,98505,90398,2022-07-28
80-89,43977,46147,2022-07-28
90+,11575,20704,2022-07-28
