Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,15653,505,7,1211,2179,45,7498,2021-12-02
ACT,128,8,0,0,47,0,0,2021-12-02
NSW,2692,173,4,94,918,32,553,2021-12-02
NT,60,1,2,0,7,3,0,2021-12-02
QLD,16,3,0,0,10,7,0,2021-12-02
SA,27,19,0,0,26,1,0,2021-12-02
TAS,1,0,0,0,0,0,1,2021-12-02
VIC,12728,301,1,1117,1171,2,6944,2021-12-02
WA,1,0,0,0,0,0,0,2021-12-02
