Age Group,Male,Female,Date
0-9,0,1,2022-01-02
10-19,1,1,2022-01-02
20-29,6,3,2022-01-02
30-39,13,7,2022-01-02
40-49,33,14,2022-01-02
50-59,80,46,2022-01-02
60-69,157,75,2022-01-02
70-79,309,187,2022-01-02
80-89,424,354,2022-01-02
90+,202,311,2022-01-02
