Jurisdiction,Active and Recovered,Deaths,Date
Australia,37445,2335,2022-05-15
ACT,395,21,2022-05-15
NSW,13460,762,2022-05-15
NT,106,6,2022-05-15
QLD,6268,283,2022-05-15
SA,3158,169,2022-05-15
TAS,782,16,2022-05-15
VIC,11127,999,2022-05-15
WA,2149,79,2022-05-15
