Jurisdiction,Total resident cases as at 17 Jan 2023,Total resident cases as at 24 Jan 2023,Date
National,1754,1228,2023-02-02
NSW,545,465,2023-02-02
Vic,366,227,2023-02-02
Qld,401,210,2023-02-02
WA,136,87,2023-02-02
SA,229,152,2023-02-02
Tas,42,11,2023-02-02
ACT,14,8,2023-02-02
NT,21,68,2023-02-02
