Jurisdiction,Average daily cases as at 17 Jan 2023,Change in average cases compared to previous week (%),Date
National,4308,- 34.2%,2023-01-22
NSW,1576,- 30.5%,2023-01-22
Vic,753,- 38.3%,2023-01-22
Qld,762,- 36.7%,2023-01-22
WA,605,- 32.3%,2023-01-22
SA,316,- 43.4%,2023-01-22
Tas,127,- 36.0%,2023-01-22
ACT,122,- 20.6%,2023-01-22
NT,49,- 5.0%,2023-01-22
