Jurisdiction,Active,Recovered,Deaths,Date
Australia,768,1757,872,2021-11-29
ACT,4,8,7,2021-11-29
NSW,276,122,99,2021-11-29
NT,0,0,0,2021-11-29
QLD,0,0,1,2021-11-29
SA,0,0,0,2021-11-29
TAS,0,0,1,2021-11-29
VIC,488,1627,764,2021-11-29
WA,0,0,0,2021-11-29
