Age Group,Male,Female,Date
0-9,215382,202028,2022-06-24
10-19,264265,284216,2022-06-24
20-29,405710,447496,2022-06-24
30-39,356410,398121,2022-06-24
40-49,275610,316756,2022-06-24
50-59,219838,241530,2022-06-24
60-69,148856,151065,2022-06-24
70-79,84787,77074,2022-06-24
80-89,36499,37735,2022-06-24
90+,9231,16393,2022-06-24
