Jurisdiction,Total resident cases as at 15 Feb 2023,Total resident cases as at 22 Feb 2023,Date
National,645,662,2023-02-25
NSW,206,219,2023-02-25
Vic,116,133,2023-02-25
Qld,191,145,2023-02-25
WA,27,58,2023-02-25
SA,84,96,2023-02-25
Tas,17,3,2023-02-25
ACT,0,0,2023-02-25
NT,4,8,2023-02-25
