Jurisdiction,Average daily cases as at 31 Jan 2023,Change in average cases compared to previous week (%),Date
National,2656,- 16.2%,2023-02-05
NSW,991,- 10.6%,2023-02-05
Vic,435,- 16.5%,2023-02-05
Qld,578,- 13.7%,2023-02-05
WA,327,- 23.8%,2023-02-05
SA,185,- 24.2%,2023-02-05
Tas,46,- 42.2%,2023-02-05
ACT,69,- 19.2%,2023-02-05
NT,26,- 20.1%,2023-02-05
