Jurisdiction,Average daily cases as at 31 Jan 2023,Change in average cases compared to previous week (%),Date
National,2656,- 16.2%,2023-02-07
NSW,991,- 10.6%,2023-02-07
Vic,435,- 16.5%,2023-02-07
Qld,578,- 13.7%,2023-02-07
WA,327,- 23.8%,2023-02-07
SA,185,- 24.2%,2023-02-07
Tas,46,- 42.2%,2023-02-07
ACT,69,- 19.2%,2023-02-07
NT,26,- 20.1%,2023-02-07
