Age Group,Male,Female,Date
0-9,7,7,2022-07-27
10-19,4,4,2022-07-27
20-29,16,12,2022-07-27
30-39,52,32,2022-07-27
40-49,98,68,2022-07-27
50-59,251,150,2022-07-27
60-69,610,326,2022-07-27
70-79,1409,744,2022-07-27
80-89,2176,1601,2022-07-27
90+,1283,1630,2022-07-27
