Jurisdiction,Active cases^,Locally acquired last 24 hours,Overseas acquired last 24 hours,Under investigation last 24 hours,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,23378,1165,1,1242,8571,31,6363,2021-10-06
ACT,386,31,0,2,171,0,85,2021-10-06
NSW,8571,608,0,0,5333,7,0,2021-10-06
NT,6,0,0,0,0,2,0,2021-10-06
QLD,26,2,0,0,12,7,1,2021-10-06
SA,4,1,0,0,5,1,0,2021-10-06
TAS,1,0,0,0,1,0,0,2021-10-06
VIC,14368,523,0,1240,3049,0,6277,2021-10-06
WA,16,0,1,0,0,14,0,2021-10-06
