Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,298881,9095,16,49384,47263,95,204991,2022-03-16
ACT,4339,1226,0,0,4223,0,1353,2022-03-16
NSW,166957,0,1,30401,2,5,106260,2022-03-16
NT,1604,16,0,208,214,5,1350,2022-03-16
QLD,29626,122,0,6014,820,0,31298,2022-03-16
SA,17654,3029,10,83,16744,33,314,2022-03-16
TAS,7679,0,0,1897,3,0,8565,2022-03-16
VIC,42250,260,0,9166,1819,0,46423,2022-03-16
WA,28772,4442,5,1615,23438,52,9428,2022-03-16
