Age Group,Male,Female,Date
0-9,1,4,2022-02-09
10-19,1,1,2022-02-09
20-29,9,3,2022-02-09
30-39,29,16,2022-02-09
40-49,46,25,2022-02-09
50-59,121,75,2022-02-09
60-69,254,129,2022-02-09
70-79,574,318,2022-02-09
80-89,886,626,2022-02-09
90+,458,557,2022-02-09
