Jurisdiction,Active and Recovered,Deaths,Date
Australia,78026,3559,2022-08-07
ACT,1078,44,2022-08-07
NSW,25901,1239,2022-08-07
NT,271,10,2022-08-07
QLD,13603,518,2022-08-07
SA,6445,280,2022-08-07
TAS,1969,37,2022-08-07
VIC,22382,1217,2022-08-07
WA,6377,214,2022-08-07
