Jurisdiction,Average daily cases as at 03 Jan 2023,Change in average cases compared to previous week (%),Date
National,8950,- 23.3%,2023-01-07
NSW,3114,- 31.4%,2023-01-07
Vic,1922,- 22.7%,2023-01-07
Qld,1369,- 3.1%,2023-01-07
WA,1043,- 10.9%,2023-01-07
SA,858,- 24.0%,2023-01-07
Tas,349,- 30.3%,2023-01-07
ACT,236,- 35.8%,2023-01-07
NT,59,+ 2.0%,2023-01-07
