Age Group,Male,Female,Date
0-9,0,1,2022-01-09
10-19,1,1,2022-01-09
20-29,8,3,2022-01-09
30-39,13,7,2022-01-09
40-49,34,15,2022-01-09
50-59,81,49,2022-01-09
60-69,163,79,2022-01-09
70-79,322,192,2022-01-09
80-89,438,364,2022-01-09
90+,211,319,2022-01-09
