Jurisdiction,Average daily cases as at 24 Jan 2023,Change in average cases compared to previous week (%),Date
National,3168,- 26.5%,2023-01-31
NSW,1108,- 29.7%,2023-01-31
Vic,521,- 30.9%,2023-01-31
Qld,670,- 12.1%,2023-01-31
WA,430,- 28.9%,2023-01-31
SA,243,- 22.9%,2023-01-31
Tas,79,- 37.7%,2023-01-31
ACT,85,- 29.8%,2023-01-31
NT,32,- 34.9%,2023-01-31
