Jurisdiction,Active and Recovered,Deaths,Date
Australia,192,13,2022-02-14
ACT,0,0,2022-02-14
NSW,42,3,2022-02-14
NT,0,0,2022-02-14
QLD,15,0,2022-02-14
SA,1,0,2022-02-14
TAS,3,2,2022-02-14
VIC,131,7,2022-02-14
WA,0,1,2022-02-14
