Age Group,Male,Female,Date
0-9,3,3,2022-03-27
10-19,1,1,2022-03-27
20-29,11,4,2022-03-27
30-39,32,19,2022-03-27
40-49,58,35,2022-03-27
50-59,155,90,2022-03-27
60-69,362,180,2022-03-27
70-79,797,402,2022-03-27
80-89,1175,827,2022-03-27
90+,631,748,2022-03-27
