Age Group,Male,Female,Date
0-9,1,2,2022-01-18
10-19,1,1,2022-01-18
20-29,9,3,2022-01-18
30-39,19,7,2022-01-18
40-49,36,16,2022-01-18
50-59,87,55,2022-01-18
60-69,178,93,2022-01-18
70-79,375,217,2022-01-18
80-89,511,405,2022-01-18
90+,235,368,2022-01-18
