Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,80432,1205,31,7160,6593,134,50068,2022-09-12
NSW,47086,2,0,2918,7,0,21743,2022-09-12
VIC,11815,0,0,2106,0,0,14061,2022-09-12
QLD,10914,16,0,1410,71,0,7334,2022-09-12
WA,5816,412,22,561,2300,92,4837,2022-09-12
SA,2795,554,2,13,2796,20,988,2022-09-12
TAS,910,84,4,86,379,10,707,2022-09-12
ACT,594,137,0,0,1040,0,0,2022-09-12
NT,502,0,3,66,0,12,398,2022-09-12
