Age Group,Male,Female,Date
0-9,4,4,2022-04-07
10-19,1,2,2022-04-07
20-29,11,6,2022-04-07
30-39,36,24,2022-04-07
40-49,64,42,2022-04-07
50-59,169,100,2022-04-07
60-69,397,196,2022-04-07
70-79,875,449,2022-04-07
80-89,1307,931,2022-04-07
90+,697,838,2022-04-07
