Age Group,Male,Female,Date
0-9,11969,11436,2021-11-04
10-19,13371,12561,2021-11-04
20-29,18635,17195,2021-11-04
30-39,15990,14583,2021-11-04
40-49,11183,10388,2021-11-04
50-59,8575,8128,2021-11-04
60-69,5147,4903,2021-11-04
70-79,2783,2625,2021-11-04
80-89,1432,1796,2021-11-04
90+,415,891,2021-11-04
