Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,483437,13249,22,49932,82220,155,311296,2022-04-07
ACT,5491,1149,0,0,5732,0,808,2022-04-07
NSW,259579,4,0,24147,53,4,143647,2022-04-07
NT,2922,18,0,459,156,0,2762,2022-04-07
QLD,58916,262,0,8272,1530,3,60578,2022-04-07
SA,35034,5691,4,89,33490,48,683,2022-04-07
TAS,12770,0,0,2459,3,0,14688,2022-04-07
VIC,62028,339,0,11811,1930,0,72111,2022-04-07
WA,46697,5786,18,2695,39326,100,16019,2022-04-07
