Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,18606,615,3,695,4219,11,5512,2021-11-09
ACT,150,17,1,0,93,2,1,2021-11-09
NSW,2831,223,1,0,1630,3,0,2021-11-09
NT,5,1,0,0,3,1,1,2021-11-09
QLD,13,0,1,0,4,5,1,2021-11-09
SA,0,0,0,0,0,0,0,2021-11-09
TAS,0,0,0,0,0,0,0,2021-11-09
VIC,15607,374,0,695,2489,0,5509,2021-11-09
WA,0,0,0,0,0,0,0,2021-11-09
