Age Group,Male,Female,Date
0-9,1,4,2022-02-06
10-19,1,1,2022-02-06
20-29,9,3,2022-02-06
30-39,27,14,2022-02-06
40-49,42,24,2022-02-06
50-59,118,70,2022-02-06
60-69,240,119,2022-02-06
70-79,533,298,2022-02-06
80-89,813,593,2022-02-06
90+,420,516,2022-02-06
