Jurisdiction,Active and Recovered,Deaths,Date
Australia,192,13,2022-04-26
ACT,0,0,2022-04-26
NSW,42,3,2022-04-26
NT,0,0,2022-04-26
QLD,15,0,2022-04-26
SA,1,0,2022-04-26
TAS,3,2,2022-04-26
VIC,131,7,2022-04-26
WA,0,1,2022-04-26
