Jurisdiction,Total staff cases as at 09 Nov 2022,Total staff cases as at 16 Nov 2022,Date
National,590,942,2022-11-19
NSW,154,256,2022-11-19
Vic,157,210,2022-11-19
Qld,86,186,2022-11-19
WA,97,121,2022-11-19
SA,80,145,2022-11-19
Tas,9,13,2022-11-19
ACT,1,7,2022-11-19
NT,6,4,2022-11-19
