Age Group,Male,Female,Date
0-9,6,6,2022-07-14
10-19,4,4,2022-07-14
20-29,17,12,2022-07-14
30-39,49,31,2022-07-14
40-49,95,67,2022-07-14
50-59,245,143,2022-07-14
60-69,577,311,2022-07-14
70-79,1315,701,2022-07-14
80-89,2051,1495,2022-07-14
90+,1178,1505,2022-07-14
