Age Group,Male,Female,Date
0-9,0,1,2021-12-19
10-19,1,1,2021-12-19
20-29,6,3,2021-12-19
30-39,13,7,2021-12-19
40-49,31,13,2021-12-19
50-59,77,45,2021-12-19
60-69,152,72,2021-12-19
70-79,292,176,2021-12-19
80-89,403,347,2021-12-19
90+,194,295,2021-12-19
