Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,135654,1740,46,12190,12937,229,86444,2022-08-25
NSW,82671,4,0,5786,17,0,40393,2022-08-25
VIC,18496,0,0,3261,0,0,22506,2022-08-25
QLD,16313,27,0,2189,2735,0,13021,2022-08-25
WA,8637,607,37,722,3403,166,6904,2022-08-25
SA,5655,719,3,27,4267,29,1602,2022-08-25
TAS,1645,131,3,108,800,17,1210,2022-08-25
ACT,1463,252,0,0,1715,0,0,2022-08-25
NT,774,0,3,97,0,17,808,2022-08-25
