Jurisdiction,Total resident cases as at 16 Nov 2022,Total resident cases as at 23 Nov 2022,Date
National,2145,2532,2022-11-28
NSW,628,914,2022-11-28
Vic,508,597,2022-11-28
Qld,314,406,2022-11-28
WA,313,317,2022-11-28
SA,304,278,2022-11-28
Tas,29,10,2022-11-28
ACT,22,10,2022-11-28
NT,27,0,2022-11-28
