Jurisdiction,Average daily cases as at 08 Nov 2022,Change in average cases compared to previous week (%),Date
National,7809,+ 47.3%,2022-11-13
NSW,2469,+ 54.0%,2022-11-13
Vic,2213,+ 57.7%,2022-11-13
Qld,758,+ 36.3%,2022-11-13
WA,1074,+ 14.1%,2022-11-13
SA,819,+ 69.2%,2022-11-13
Tas,265,+ 64.1%,2022-11-13
ACT,163,+ 42.4%,2022-11-13
NT,48,+ 36.3%,2022-11-13
