Jurisdiction,Average daily cases as at 11 Oct 2022,Change in average cases compared to previous week (%),Date
National,5165,- 0.2%,2022-10-21
NSW,1735,+ 12.9%,2022-10-21
Vic,1181,- 12.4%,2022-10-21
Qld,968,- 3.8%,2022-10-21
WA,685,+ 1.5%,2022-10-21
SA,365,- 9.8%,2022-10-21
Tas,99,+ 8.8%,2022-10-21
ACT,92,+ 25.4%,2022-10-21
NT,39,- 4.5%,2022-10-21
