Jurisdiction,Average daily cases as at 20 Dec 2022,Change in average cases compared to previous week (%),Date
National,15314,- 4.0%,2022-12-27
NSW,5632,- 4.7%,2022-12-27
Vic,3549,+ 0.4%,2022-12-27
Qld,1934,- 10.6%,2022-12-27
WA,1628,- 2.3%,2022-12-27
SA,1476,- 5.1%,2022-12-27
Tas,558,- 3.1%,2022-12-27
ACT,439,+ 3.4%,2022-12-27
NT,99,- 22.4%,2022-12-27
