Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,30155,656,11,3323,4244,102,19594,2021-12-20
ACT,112,9,0,4,79,5,7,2021-12-20
NSW,16225,259,7,2235,1984,42,11570,2021-12-20
NT,82,6,0,0,41,9,0,2021-12-20
QLD,142,25,1,33,92,13,76,2021-12-20
SA,406,40,0,65,206,6,169,2021-12-20
TAS,11,3,1,0,7,2,2,2021-12-20
VIC,13175,314,2,986,1835,24,7770,2021-12-20
WA,2,0,0,0,0,1,0,2021-12-20
