Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,347756,10794,145,39309,57572,618,241400,2022-07-20
ACT,6801,1221,0,0,8088,0,0,2022-07-20
NSW,141747,1,0,13543,5,0,81665,2022-07-20
NT,3335,0,9,661,0,39,3437,2022-07-20
QLD,54029,35,0,9957,106,0,49105,2022-07-20
SA,29845,4076,1,95,21343,2,7723,2022-07-20
TAS,10092,1114,10,509,5939,43,2420,2022-07-20
VIC,65416,0,0,12201,0,0,75107,2022-07-20
WA,36491,4347,125,2343,22091,534,21943,2022-07-20
