Jurisdiction,Average daily cases as at 01 Nov 2022,Change in average cases compared to previous week (%),Date
National,5300,+ 17.3%,2022-11-10
NSW,1604,+ 21.4%,2022-11-10
Vic,1403,+ 20.5%,2022-11-10
Qld,556,- 6.4%,2022-11-10
WA,941,+ 17.0%,2022-11-10
SA,484,+ 27.0%,2022-11-10
Tas,162,+ 40.3%,2022-11-10
ACT,114,+ 17.8%,2022-11-10
NT,35,- 16.5%,2022-11-10
