Jurisdiction,Active cases^,Locally acquired last 24 hours,Overseas acquired last 24 hours,Under investigation last 24 hours,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,23401,1150,7,1116,8155,35,6827,2021-10-07
ACT,407,17,0,24,180,0,92,2021-10-07
NSW,7868,587,0,0,4705,3,0,2021-10-07
NT,7,0,1,0,0,2,0,2021-10-07
QLD,26,0,6,0,6,15,0,2021-10-07
SA,3,0,0,0,5,1,0,2021-10-07
TAS,1,0,0,0,1,0,0,2021-10-07
VIC,15074,546,0,1092,3258,0,6735,2021-10-07
WA,15,0,0,0,0,14,0,2021-10-07
