Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,27118,828,1,1218,5614,20,10347,2021-10-19
ACT,428,24,0,0,177,0,49,2021-10-19
NSW,4168,273,0,0,2376,7,0,2021-10-19
NT,9,0,0,0,4,5,0,2021-10-19
QLD,25,0,0,0,1,4,0,2021-10-19
SA,8,0,1,0,1,2,0,2021-10-19
TAS,1,0,0,0,1,0,0,2021-10-19
VIC,22476,531,0,1218,3054,1,10298,2021-10-19
WA,3,0,0,0,0,1,0,2021-10-19
