Age Group,Male,Female,Date
0-9,14195,13532,2021-11-18
10-19,14918,14108,2021-11-18
20-29,20066,18755,2021-11-18
30-39,17324,16104,2021-11-18
40-49,12277,11452,2021-11-18
50-59,9252,8837,2021-11-18
60-69,5598,5375,2021-11-18
70-79,3060,2865,2021-11-18
80-89,1550,1967,2021-11-18
90+,449,954,2021-11-18
