Jurisdiction,Average daily cases as at 07 Feb 2023,Change in average cases compared to previous week (%),Date
National,2403,- 9.5%,2023-02-10
NSW,880,- 11.2%,2023-02-10
Vic,418,- 3.8%,2023-02-10
Qld,496,- 14.2%,2023-02-10
WA,281,- 14.1%,2023-02-10
SA,202,+ 9.4%,2023-02-10
Tas,46,+ 0.9%,2023-02-10
ACT,55,- 20.3%,2023-02-10
NT,25,- 2.8%,2023-02-10
