Jurisdiction,Average daily cases as at 13 Dec 2022,Change in average cases compared to previous week (%),Date
National,15956,+ 2.5%,2022-12-18
NSW,5911,+ 5.5%,2022-12-18
Vic,3533,- 11.0%,2022-12-18
Qld,2163,+ 24.7%,2022-12-18
WA,1666,- 7.6%,2022-12-18
SA,1555,+ 10.7%,2022-12-18
Tas,576,- 3.1%,2022-12-18
ACT,424,+ 21.1%,2022-12-18
NT,128,+ 19.1%,2022-12-18
