Jurisdiction,Total staff cases as at 23 Nov 2022,Total staff cases as at 30 Nov 2022,Date
National,1032,1306,2022-12-02
NSW,342,488,2022-12-02
Vic,210,286,2022-12-02
Qld,221,215,2022-12-02
WA,101,114,2022-12-02
SA,145,165,2022-12-02
Tas,3,21,2022-12-02
ACT,9,6,2022-12-02
NT,1,11,2022-12-02
