Jurisdiction,Average daily cases as at 20 Sep 2022,Change in average cases compared to previous week (%),Date
National,6543,- 14.5%,2022-09-24
NSW,2251,- 17.3%,2022-09-24
Vic,1534,- 15.9%,2022-09-24
Qld,1174,- 10.2%,2022-09-24
WA,802,- 14.5%,2022-09-24
SA,485,- 9.1%,2022-09-24
Tas,130,- 14.3%,2022-09-24
ACT,111,- 5.1%,2022-09-24
NT,57,+ 1.5%,2022-09-24
