Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,90052,1388,21,7842,7014,175,57512,2022-09-06
NSW,53058,1,0,2999,5,0,26129,2022-09-06
VIC,12670,0,0,2375,0,0,15511,2022-09-06
QLD,12292,22,0,1609,203,0,8557,2022-09-06
WA,5849,525,14,622,2383,124,5095,2022-09-06
SA,3628,590,4,21,2745,21,982,2022-09-06
TAS,1033,90,0,108,494,12,760,2022-09-06
ACT,955,160,0,0,1184,0,0,2022-09-06
NT,567,0,3,108,0,18,478,2022-09-06
