Jurisdiction,Total resident cases as at 07 Dec 2022,Total resident cases as at 14 Dec 2022,Date
National,3551,3427,2022-12-19
NSW,1205,1035,2022-12-19
Vic,1006,1136,2022-12-19
Qld,418,455,2022-12-19
WA,374,273,2022-12-19
SA,418,363,2022-12-19
Tas,58,92,2022-12-19
ACT,59,45,2022-12-19
NT,13,28,2022-12-19
