Jurisdiction,Active,Recovered,Deaths,Date
Australia,1636,1962,921,2022-01-05
ACT,4,8,7,2022-01-05
NSW,735,123,116,2022-01-05
NT,0,0,0,2022-01-05
QLD,98,0,1,2022-01-05
SA,0,0,0,2022-01-05
TAS,0,0,1,2022-01-05
VIC,665,1831,793,2022-01-05
WA,0,0,0,2022-01-05
