Age Group,Male,Female,Date
0-9,23147,21948,2021-12-31
10-19,26160,26302,2021-12-31
20-29,41390,40321,2021-12-31
30-39,30839,29208,2021-12-31
40-49,21067,20446,2021-12-31
50-59,15938,15771,2021-12-31
60-69,9755,9454,2021-12-31
70-79,5329,5088,2021-12-31
80-89,2476,2961,2021-12-31
90+,624,1286,2021-12-31
