Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,156437,1665,52,9912,17136,315,97252,2022-08-22
NSW,95438,1,0,5012,20,0,45701,2022-08-22
VIC,21573,0,0,2600,0,0,26254,2022-08-22
QLD,17401,0,0,1587,2742,1,14777,2022-08-22
WA,10269,564,34,521,5448,226,6736,2022-08-22
SA,6936,761,11,14,5686,40,1601,2022-08-22
TAS,2161,126,3,85,1110,30,1446,2022-08-22
ACT,1750,213,0,0,2130,0,0,2022-08-22
NT,909,0,4,93,0,18,737,2022-08-22
