Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,84069,1346,19,7811,6718,139,52106,2022-09-09
NSW,48879,3,0,3331,6,0,22993,2022-09-09
VIC,11995,0,0,2102,0,0,14348,2022-09-09
QLD,11346,4,0,1560,124,0,7649,2022-09-09
WA,5855,445,11,632,2354,98,4982,2022-09-09
SA,3640,635,6,13,2783,22,988,2022-09-09
TAS,933,80,1,84,385,8,718,2022-09-09
ACT,892,179,0,0,1066,0,0,2022-09-09
NT,529,0,1,89,0,11,428,2022-09-09
