Age Group,Male,Female,Date
0-9,1,2,2022-01-27
10-19,1,1,2022-01-27
20-29,10,3,2022-01-27
30-39,23,11,2022-01-27
40-49,41,21,2022-01-27
50-59,109,63,2022-01-27
60-69,208,105,2022-01-27
70-79,453,253,2022-01-27
80-89,669,498,2022-01-27
90+,320,428,2022-01-27
