Jurisdiction,Total resident cases as at 19 Oct 2022,Total resident cases as at 26 Oct 2022,Date
National,744,834,2022-10-28
NSW,197,152,2022-10-28
Vic,152,237,2022-10-28
Qld,93,79,2022-10-28
WA,168,227,2022-10-28
SA,120,120,2022-10-28
Tas,9,16,2022-10-28
ACT,4,3,2022-10-28
NT,1,0,2022-10-28
