Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,111081,1596,58,11577,8392,211,73859,2022-08-31
NSW,67106,3,0,5431,21,0,33411,2022-08-31
VIC,15583,0,0,2857,0,0,18781,2022-08-31
QLD,13974,39,0,2255,142,0,13073,2022-08-31
WA,6887,547,45,788,2809,157,5688,2022-08-31
SA,4323,625,6,8,3304,20,1314,2022-08-31
TAS,1342,146,4,118,644,21,926,2022-08-31
ACT,1214,236,0,0,1472,0,0,2022-08-31
NT,652,0,3,120,0,13,666,2022-08-31
