Jurisdiction,Total resident cases as at 19 Oct 2022,Total resident cases as at 26 Oct 2022,Date
National,744,834,2022-11-01
NSW,197,152,2022-11-01
Vic,152,237,2022-11-01
Qld,93,79,2022-11-01
WA,168,227,2022-11-01
SA,120,120,2022-11-01
Tas,9,16,2022-11-01
ACT,4,3,2022-11-01
NT,1,0,2022-11-01
