Age Group,Male,Female,Date
0-9,15534,14705,2021-11-27
10-19,15865,15020,2021-11-27
20-29,20785,19497,2021-11-27
30-39,18162,17000,2021-11-27
40-49,12974,12179,2021-11-27
50-59,9691,9308,2021-11-27
60-69,5888,5666,2021-11-27
70-79,3239,3023,2021-11-27
80-89,1631,2044,2021-11-27
90+,466,988,2021-11-27
