Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,185747,3016,55,16910,17069,348,116828,2022-08-18
NSW,112437,7,0,8142,16,0,53556,2022-08-18
VIC,25686,0,0,4416,0,0,30584,2022-08-18
QLD,21120,21,0,3039,84,2,19568,2022-08-18
WA,11964,1221,46,943,6544,246,7555,2022-08-18
SA,8579,1149,3,18,6489,48,2503,2022-08-18
TAS,2762,234,3,200,1322,37,1868,2022-08-18
ACT,2171,384,0,0,2614,0,0,2022-08-18
NT,1028,0,3,152,0,15,1194,2022-08-18
