Jurisdiction,Active,Recovered,Deaths,Date
Australia,821,1916,891,2021-12-17
ACT,4,8,7,2021-12-17
NSW,317,122,103,2021-12-17
NT,0,0,0,2021-12-17
QLD,0,0,1,2021-12-17
SA,0,0,0,2021-12-17
TAS,0,0,1,2021-12-17
VIC,500,1786,779,2021-12-17
WA,0,0,0,2021-12-17
