Jurisdiction,Total resident cases as at 05 Oct 2022,Total resident cases as at 12 Oct 2022,Date
National,656,684,2022-10-20
NSW,169,238,2022-10-20
Vic,173,145,2022-10-20
Qld,59,61,2022-10-20
WA,51,87,2022-10-20
SA,144,118,2022-10-20
Tas,36,35,2022-10-20
ACT,2,0,2022-10-20
NT,22,0,2022-10-20
