Jurisdiction,Total staff cases as at 09 Nov 2022,Total staff cases as at 16 Nov 2022,Date
National,590,942,2022-11-22
NSW,154,256,2022-11-22
Vic,157,210,2022-11-22
Qld,86,186,2022-11-22
WA,97,121,2022-11-22
SA,80,145,2022-11-22
Tas,9,13,2022-11-22
ACT,1,7,2022-11-22
NT,6,4,2022-11-22
