Jurisdiction,Active and Recovered,Deaths,Date
Australia,192,13,2022-09-02
VIC,131,7,2022-09-02
NSW,42,3,2022-09-02
QLD,15,0,2022-09-02
TAS,3,2,2022-09-02
SA,1,0,2022-09-02
ACT,0,0,2022-09-02
NT,0,0,2022-09-02
WA,0,1,2022-09-02
