Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,365260,2332,10,25757,13988,56,192466,2022-01-28
ACT,4744,478,0,0,3329,0,0,2022-01-28
NSW,219996,17,1,13315,38,1,86712,2022-01-28
NT,4228,22,0,918,55,0,1623,2022-01-28
QLD,69350,130,0,5884,1227,1,52986,2022-01-28
SA,24612,613,9,1224,3585,45,10857,2022-01-28
TAS,1263,0,0,135,6,0,1510,2022-01-28
VIC,40938,1069,0,4276,5656,0,38764,2022-01-28
WA,129,3,0,5,92,9,14,2022-01-28
